data;vazao;nivel;chuva;Interpolado chuva;Interpolado vazao
10/04/2003;5,562974948;;0;Sim;Sim
11/04/2003;5,439419908;;0,101785857;Sim;Sim
12/04/2003;5,556531142;;0,363213459;Sim;Sim
13/04/2003;8,707590073;;34,49633675;Sim;Sim
14/04/2003;6,3305015;;5,896202192;Sim;Sim
15/04/2003;5,857003771;;0,225540902;Sim;Sim
16/04/2003;5,687195864;;0,001618193;Sim;Sim
17/04/2003;5,606943165;;0;Sim;Sim
18/04/2003;5,439419908;;0;Sim;Sim
19/04/2003;5,316657024;;0;Sim;Sim
20/04/2003;5,316657024;;0;Sim;Sim
21/04/2003;5,39627831;;1,656460529;Sim;Sim
22/04/2003;6,109858256;;3,764808742;Sim;Sim
23/04/2003;5,562974948;;0,252894122;Sim;Sim
24/04/2003;5,482974815;;5,507677562;Sim;Sim
25/04/2003;5,562974948;;1,983699774;Sim;Sim
26/04/2003;5,359798622;;0;Sim;Sim
27/04/2003;5,273928735;;0;Sim;Sim
28/04/2003;5,073274846;;0;Sim;Sim
29/04/2003;5,022142605;;0;Sim;Sim
30/04/2003;4,94346844;;0;Sim;Sim
01/05/2003;4,94346844;;0;Sim;Sim
02/05/2003;4,814627228;;0;Sim;Sim
03/05/2003;4,94346844;;4,967467316;Sim;Sim
04/05/2003;4,916242224;;0,942088448;Sim;Sim
05/05/2003;4,916242224;;0;Sim;Sim
06/05/2003;4,994600681;;0;Sim;Sim
07/05/2003;5,073274846;;3,233787193;Sim;Sim
08/05/2003;4,994600681;;0;Sim;Sim
09/05/2003;4,814627228;;0;Sim;Sim
10/05/2003;4,736584477;;0;Sim;Sim
11/05/2003;4,814627228;;1,821999859;Sim;Sim
12/05/2003;4,865109983;;1,769197273;Sim;Sim
13/05/2003;4,994600681;;0,293229173;Sim;Sim
14/05/2003;4,814627228;;0,333617669;Sim;Sim
15/05/2003;4,994600681;;1,633744517;Sim;Sim
16/05/2003;5,073274846;;0,835856406;Sim;Sim
17/05/2003;5,115570144;;1,803436636;Sim;Sim
18/05/2003;4,916242224;;0;Sim;Sim
19/05/2003;4,814627228;;0;Sim;Sim
20/05/2003;4,814627228;;0,070931759;Sim;Sim
21/05/2003;4,787067232;;0,797920946;Sim;Sim
22/05/2003;4,658920575;;0;Sim;Sim
23/05/2003;4,609106987;;0;Sim;Sim
24/05/2003;4,559942885;;0;Sim;Sim
25/05/2003;4,559942885;;0;Sim;Sim
26/05/2003;4,482657831;;0;Sim;Sim
27/05/2003;4,357193548;;0;Sim;Sim
28/05/2003;4,405688484;;0;Sim;Sim
29/05/2003;4,280539908;;0,006043515;Sim;Sim
30/05/2003;4,329034843;;0;Sim;Sim
31/05/2003;4,357193548;;0,014563735;Sim;Sim
01/06/2003;4,405688484;;0;Sim;Sim
02/06/2003;4,386337128;;0;Sim;Sim
03/06/2003;4,386337128;;0;Sim;Sim
04/06/2003;4,30936778;;0;Sim;Sim
05/06/2003;4,405688484;;0;Sim;Sim
06/06/2003;4,280539908;;0;Sim;Sim
07/06/2003;4,23271414;;0;Sim;Sim
08/06/2003;4,156439348;;0;Sim;Sim
